filename,width,height,class,xmin,ymin,xmax,ymax
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Ball,169,261,184,286
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Ball,58,350,79,383
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Ball,207,264,225,291
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Ring,189,160,211,198
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Shoes,153,350,176,382
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Shoes,42,460,74,486
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Shoes,338,396,353,429
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Shoes,327,433,347,455
frame09961_png.rf.a5f013630fe2aa75260ec7597b617676.jpg,640,640,Line,242,292,562,640
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Line,334,306,560,640
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Ball,128,248,144,278
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Ball,12,339,25,371
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Ball,356,318,371,346
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Ring,149,140,178,205
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Shoes,110,347,142,381
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Shoes,269,393,286,434
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Shoes,311,417,335,447
frame09181_png.rf.a4e063779853995dd01213a6c7b18687.jpg,640,640,Shoes,6,459,28,482
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Line,45,312,597,557
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Ball,324,124,334,145
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Ball,236,239,245,257
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Ball,388,243,398,258
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Ring,312,156,327,192
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Shoes,342,338,363,355
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Shoes,235,306,254,319
frame10861_png.rf.a305f76796fc9aa5e3b9c59f014c5635.jpg,640,640,Shoes,377,305,397,319
frame02341_png.rf.9d81269dad6707d6d5f80900fcf390e9.jpg,640,640,Line,0,222,628,614
frame02341_png.rf.9d81269dad6707d6d5f80900fcf390e9.jpg,640,640,Ball,282,139,301,171
frame02341_png.rf.9d81269dad6707d6d5f80900fcf390e9.jpg,640,640,Ball,104,267,119,295
frame02341_png.rf.9d81269dad6707d6d5f80900fcf390e9.jpg,640,640,Ball,229,183,239,205
frame02341_png.rf.9d81269dad6707d6d5f80900fcf390e9.jpg,640,640,Ring,238,87,259,142
frame02341_png.rf.9d81269dad6707d6d5f80900fcf390e9.jpg,640,640,Shoes,209,277,237,307
frame02341_png.rf.9d81269dad6707d6d5f80900fcf390e9.jpg,640,640,Shoes,82,381,117,411
